title,category,first_sentence
Women in Jordan,topic,"The political, social and economic status of women in Jordan is based on  legal, traditional, cultural and religious values. Women's rights in  Jordan are also dependent on factors such as class, place of origin, religion, and family ties."
Women in Joseon,topic,"Women in Korea during the Joseon period (1392–1897) had changing societal positions over time. They had fewer rights than women in the Goryeo dynasty (918–1392), and fewer rights than contemporary men."
Women in Judaism,topic,"Women in Judaism have affected the course of Judaism over millennia. Their role is reflected in the Hebrew Bible, the Oral Law (the corpus of rabbinic literature), by custom, and by cultural factors."
Women in Kazakhstan,topic,"Women in Kazakhstan are women who live in or are from Kazakhstan. Their position in society has been and is influenced by a variety of factors, including local traditions and customs, decades of Soviet regime, rapid social and economic changes and instability after independence, and new emerging Western values."
Women in Kenya,topic,"The history of the evolution of the traits of women in Kenya can be divided into Women within Swahili culture, Women in British Kenya, and Kenyan Women post-Independence. The condition and status of the female population in Kenya has faced many changes over the past century."
Women in Kiribati,topic,"Women in Kiribati are women who live in or are from the atoll nation of Kiribati. The role of Kiribati women is described in the publication Kiribati, A Situation Analysis of Children, Women and Youth (2005) as ""largely defined by her age and marital status""."
Women in Korea,disambiguation,Women in Korea may refer to:
Women in Kosovo,topic,"Women in Kosovo are women who live in or are from the Republic of Kosovo. As citizens of a post-war nation, some Kosovar (or Kosovan) women have become participants in the process of peace-building and establishing pro-gender equality in Kosovo's rehabilitation process."
Women in Kuwait,topic,"The women of Kuwait have experienced many progressive changes since the early 20th century. Since then, women have had increased access to education, gained political and economic rights, and financial power."
Women in Kyrgyzstan,topic,"Women in Kyrgyzstan traditionally had assigned roles, although only the religious elite sequestered women as was done in other Muslim societies. Rural inhabitants continue the traditional Siberian tribal practice of bride kidnapping (abducting women and girls for forced marriage)."
Women in Laos,topic,"Women have been active participants in Laos's society, involved in politics, driving social transformation and development, becoming active in the world of business. Due to modernization and rural uprooting, women have begun to embrace lifestyles that are foreign to certain ideals."
Women in Latin music,topic,"Women have made significant contributions to Latin music, a genre which predates the Spanish colonization of the Americas. Indigenous communities reserved music for women, who were given equal opportunities with men to teach, perform, sing, and dance."
Women in Latvia,topic,"Women in Latvia refers to all the women who reside in, come from and were born in Latvia. The social and legal status of women in the Latvian society has been influenced by its history, geopolitical location and culture."
Women in Law & Development in Africa,organization,"Women in Law & Development in Africa (WiLDAF) is a Pan-African women's rights organization and network which is non-profit and non-government (NGO) and contains 500 organizations, 1200 individuals and spreads over 27 countries. Even though WiLDAF functions as a multi-regional/transnational organization, it pays close attention to the economical, social and historical differences between states and countries."
Women in Law and Litigation,topic,"Women in Law and Litigation (WILL) was formed by women lawyers, judges and legal professionals to deal with gender discrimination faced by women in the field of law. The litigating public prefers to deal with male lawyers than women lawyers against gender discrimination."
Women in League,organization,The Women in League is an Australian rugby league charity which was founded in 2007 to celebrates and acknowledges the role women play at all levels and in all areas of the Rugby League.
Women in Lebanon,topic,"The legal status of women in Lebanon has improved since the 20th century; however, gender equality still remains problematic. Active feminist movements in Lebanon are trying to overcome the existing legal and sociopolitical discrimination."
Women in Lesotho,topic,"In 2017, 1.1 million women were living in Lesotho, making up 51.48% of the population. 33% of women are under 15 years of age, 61.4% are between 15 and 64 years old and 5.3% are over 64 years old."
Women in Libya,topic,"The overall status of women in Libya has improved since the efforts of the Gaddafi government in  the 1969 revolution. The same government has been held responsible for various human rights violations, including on women."
Women in Love,book,"Women in Love is a 1920 novel by English author D. H. Lawrence. It is a sequel to his 1915 novel The Rainbow, and follows the continuing loves and lives of the Brangwen sisters, Gudrun and Ursula."
Women in Love (1993 film),film,"Women in Love (French: Les Amoureuses) is a 1993 Canadian drama film, directed by Johanne Prégent. The film stars Louise Portal and Léa-Marie Cantin as Léa and Marianne, two friends who are about to turn 40, and are married to David (Kenneth Welsh) and Nino (Tony Nardi) respectively, but are both involved in extramarital affairs with other men due to their dissatisfaction with their marriages."
Women in Love (TV series),film,"Women in Love is a British two-part television film, a combined adaptation by William Ivory of two D. H. Lawrence novels, The Rainbow (1915) and Women in Love (1920). Directed by Miranda Bowen and produced by Mark Pybus, it features Saskia Reeves, Rachael Stirling, Rosamund Pike, Rory Kinnear, Joseph Mawle and Ben Daniels."
Women in Love (disambiguation),book,Women in Love is a 1920 novel by D. H. Lawrence.
Women in Love (film),film,"Women in Love is a 1969 British romantic drama film directed by Ken Russell and starring Alan Bates, Oliver Reed, Glenda Jackson, and Jennie Linden. The film was adapted by Larry Kramer from D. H. Lawrence's 1920 novel Women in Love."
Women in Macau,topic,"Women in Macau, as described by Candice Chio Ngan Ieng, president of the Macau Women's General Association (AGMM), in 2010 are currently defining themselves as capable and irreplaceable powers to Macau's modern-day civilization."
Women in Madagascar,topic,"Women in Madagascar generally live longer than men, whom they outnumber. Marrying young, they are traditionally subservient to their husbands."
Women in Malayalam literature,topic,"Women's writing in Malayalam is a category of Malayalam literature that runs counter to the dominant public sphere in Kerala. It comprises women's fiction, poetry, and short stories and has a long tradition in Malayalam literature."
Women in Malaysia,topic,"Women in Malaysia receive support from the Malaysian government concerning their rights to advance, to make decisions, to health, education and social welfare, and to the removal of legal obstacles. The Malaysian government has ensured these factors through the establishment of Ministry of National Unity and Social Development in 1997 (formerly known in 1993 as Women's Affairs Secretariat or HAWA)."
Women in Mali,topic,"The status and social roles of women in Mali have been formed by the complex interplay of a variety of traditions in ethnic communities, the rise and fall of the great Sahelien states, French colonial rule, independence, urbanisation, and postcolonial conflict and progress. Forming just less than half Mali's population, Malian women have sometimes been the center of matrilineal societies, but have always been crucial to the economic and social structure of this largely rural, agricultural society."
Women in Malta,topic,"Women in Malta refers to, amongst others, the social status of women in the Maltese society in different context of Maltese history, past and present."
Women in Maltese general elections,topic,Fifteen general elections have been contested since the granting of universal suffrage in Malta. Only 73 women have contested in these elections.
Women in Manufacturing,organization,"Women in Manufacturing (WiM) is a national trade association headquartered in Cleveland, Ohio, that promotes and supports women who are pursuing or have chosen a career in manufacturing. It is the only national trade association dedicated to providing year-round support to women in manufacturing careers, representing more than 12,000 members from 48 U.S. states and from 40 countries."
Women in Mathematics (book),topic,"Women in Mathematics is a book on women in mathematics. It was written by Lynn M. Osen, and published by the MIT Press in 1974."
Women in Mauritania,topic,"Issues impacting Women in Mauritanian society include female genital mutilation, child marriage, and polygamy. 
The practice of Leblouh (Arabic: البلوح, romanized: lə-blūḥ) is the practice of force-feeding girls from as young as five, through to teenagers, in Mauritania, Western Sahara, and southern Morocco, where obesity is traditionally regarded as being desirable."
Women in Mauritius,topic,Women in Mauritius refers to the social demographic of women in Mauritius. Women's role in Mauritian society  changed throughout the 20th century.
Women in Maya society,topic,"Ancient Maya women had an important role in society: beyond propagating the culture through bearing and raising children, Maya women participated in economic, governmental, and farming activities. The lives of women in ancient Mesoamerica are not well documented: ""Of the three elite founding area tombs discovered to date within the Copan Acropolis, two contain the remains of women, and yet there is not a single reference to a woman in either known contemporary texts or later retrospective accounts of Early Classic events and personages at Copan,"" writes a scholar."
Women in Meitei culture,topic,"Women have significant roles in different elements of Meitei culture, including Meitei dances, Meitei festivals, Meitei folklore, Meitei folktales, Meitei literature, Meitei mythology, Meitei religion, etc."
Women in Mexico,topic,"The status of women in Mexico has changed significantly over time. Until the twentieth century, Mexico was an overwhelmingly rural country, with rural women's status defined within the context of the family and local community."
Women in Military Service for America Memorial silver dollar,topic,"The Women in Military Service for America Memorial silver dollar is a commemorative dollar issued by the United States Mint in 1994.  It was one of three coins in the 1994 Veterans Program, along with the Vietnam War Memorial and Prisoners of War silver dollar."
Women in Minnesota government,topic,"Women have held a variety of positions within the government of Minnesota but still remain underrepresented. For instance, Minnesota has never had a woman as governor."
Women in Mongolia,topic,"Mongolian women had a higher social status than women in many other East Asian societies, but were considered unable to herd cattle and possibly horses."
Women in Montenegro,topic,"Montenegrin women live in Montenegro, a country in southeastern Europe: a region commonly known as the Balkans. They belong to a group of people known as South Slavs."
Women in Morocco,topic,"The history of women in Morocco can be  divided into periods:  before, during, and after the arrival of Islam.
After Morocco's independence from France, Moroccan women were able to start going to schools that focused on teaching more than simply religion, expanding their education to the sciences and other subjects."
Women in Muisca society,topic,This article describes the role of women in Muisca society. The Muisca were the original inhabitants of the Altiplano Cundiboyacense (present-day central Colombian Andes) before the Spanish conquest in the first half of the 16th century.
Women in Music (periodical),organization,"Women in Music was an American newsletter founded in July 1935 by its publisher and editor, Frédérique Petrides, then the conductor of the Orchestrette Classique – an orchestra based in New York made-up of female musicians. The publication ran until December 1940."
Women in Music Pt. III,music,Women in Music Pt. III is the third studio album by American rock band Haim.
Women in Myanmar,topic,"Historically, women in Myanmar (also known as Burma) have had a unique social status and esteemed women in Burmese society. According to the research done by Mya Sein, Burmese women ""for centuries – even before recorded history"" owned a ""high measure of independence"" and had retained their ""legal and economic rights"" despite the influences of Buddhism."
Women in Namibia,topic,"Women in Namibia face challenges in their health, gender based violence, and access to education. The government of Namibia is taking steps to provide women with equal rights to a degree that is largely unparalleled in Sub-Saharan Africa, including the promise of gender equality and increased parliament representation in the Namibian constitution."
Women in Nazi Germany,topic,"In Nazi Germany, women were subject to doctrines of Nazism by the Nazi Party (NSDAP), which promoted exclusion of women from the political and academic life of Germany as well as its executive body and executive committees. On the other hand, whether through sheer numbers, lack of local organization, or both, many German women did indeed become Nazi Party members."
Women in Nepal,topic,"The status of women in Nepal has varied throughout history. In the early 1990s, like in some other Asian countries, women in Nepal were generally subordinate to men in virtually every aspect of life."
Women in New Zealand,topic,Women in New Zealand are women who live in or are from New Zealand. Notably New Zealand was the first self-governing country in the world where women were entitled to vote.
Women in Niger,topic,Women in Niger are women that are from or live in the West African country of Niger. These women belong to a population in which 98% are practitioners of Islam.
Women in Nigeria,topic,"Women in Nigeria are a diverse group of individuals who have a wide range of experiences and backgrounds. Women in Nigeria face numerous challenges, including gender inequality, poverty, violence, lack of access to education and healthcare, and lack of participation in government and economics."
Women in Nigeria (organization),organization,"Women in Nigeria (WIN) is a political interest organization founded in 1982. The organization's interest concerns women's liberation, equality and social justice in Nigeria."
Women in Niue,topic,"While the status of women in Niue continues to progress on a country-wide level, there are no legal protections set in place to ensure equality between men and women. Despite this, reports show that Niuean women's participation in male-dominated spaces has increased since the adoption of the Niue Constitution in 1974."
Women in North Korea,topic,"The status of women in North Korea is not fully understood outside the country, due to the political isolation of North Korea, the unwillingness of the North Korean authorities to allow foreign investigators access in the country, and the existence of conflicting reports. The official position of the North Korean government is that women have equal rights with men."
Women in North Macedonia,topic,Women in North Macedonia are women who live in or are from North Macedonia. They live in a society in North Macedonia that is customarily patriarchal.
Women in Northern Cyprus,topic,"The women in Northern Cyprus are inhabitants of the internationally unrecognised Turkish Republic of Northern Cyprus, where they have been contributors to the fields of science, law and justice. However, several factors have inhibited women's participation in politics, and women constitute only 8% of the Assembly of the Republic."
Women in Northern Ireland,topic,Women in Northern Ireland are women who live in or are from Northern Ireland.
Women in Nuclear,organization,"Women in Nuclear is a global not-for-profit organization with over 35,000 members from145 countries. The organization was established in 1993 and is governed by an elected board and executive."
Women in Oceania,topic,Women have been a vital part of history and culture in the geographic area known today as Oceania. Women in Oceania have diverse cultural identities which relate to the geography of the continent and the social structures of the people living there.
Women in Oman,topic,"Women in Oman now pursue careers and professional training, moving from their previous and traditional role at home to the public sphere. In Oman, 17 October is celebrated every year as the Omani Women's Day with various pro-female events."
Women in Opus Dei,topic,Women form 57% of the membership of the Opus Dei prelature. The role of women in Opus Dei has sometimes been a source of criticism for the organization.
Women in Oversized Men's Shirts,film,"Women In Oversized Men's Shirts is a 2015 Norwegian language romantic comedy film starring Inga Ibsdotter Lilleaas. The film is directed by Yngvild Sve Flikke, with a screenplay co-written by Flikke and Gunnhild Øyehaug based on Øyehaug's 2008 novel Wait, Blink."
Women in POUM in Francoist Spain,topic,"Women in POUM in Francoist Spain were few as many, along with male dominated leadership, were forced into exile following the end of the Spanish Civil War. Those in exile often felt isolated and alone."
Women in PSOE in Francoist Spain and the democratic transition,topic,"Women in PSOE in Francoist Spain had been involved in important socialist activism since the 1930s, including behind the scenes during the Asturian miners' strike of 1934, even as the party offered few leadership roles to women and address the issues of women.  During the Civil War, the party was one of the few left wing actors to reject the idea of women on the front, believing women instead should take care of the home."
Women in Pakistan,topic,"Women in Pakistan are as diverse as the country's population in terms of culture, religion, social status, political and community participation at local, national and global platforms. The socio-political and cultural factors including a prominent rural urban divide significantly shape the status of women across the region."
Women in Pakistani politics,topic,"Since Pakistan's independence on 14 August 1947, women have been active participants in parliamentary politics. Their representation remained low in the first and second Constituent Assemblies, however the amendments to the Constitution of Pakistan paved way for their increased participation in the parliament."
Women in Palau,topic,"Women in Palau, known also as Palauan women, Belauan women, Pelew (archaic English) women, or Women of Los Palaos Islands (Spanish influenced name) are women who live in or are from Palau. Historically, there was a strong ""gendered division of labor"" between women and men of Palau."
Women in Palestine,topic,"Palestinian women have played an important role in the region throughout many historical changes including Ottoman control, the British Mandate, and Israeli control. Women were involved in the founding of the Palestine Liberation Organization in 1964 and the later establishment of the Palestinian Authority in 1994, working to shape and redefine the roles of women in Palestine and across the Palestinian diaspora."
Women in Panama,topic,"Women in Panama are the women who live in or are from Panama. Panamanian women, by tradition, are Hispanic and they are treated as equal to men, accorded with ""deference and respect""."
Women in Paraguay,topic,"Women in Paraguay face challenges to their rights. Faced by socioeconomic inequalities and gender pay gap, they experienced significant cultural changes since 1990 as a result of constitutional and legal expansions of women's rights and evolving cultural attitudes."
Women in Parliament,disambiguation,Women in Parliament may refer to:
Women in Partido Comunista de España in Francoist Spain,topic,"Women in Partido Comunista de España in Francoist Spain faced many challenges. Partido Comunista de España (PCE) had been made illegal by the new regime, which banned all political parties and trade unions."
Women in Partido Obrero de Unificación Marxista,topic,"Women in the Workers' Party of Marxist Unification were faced with many of the same problems as other Communist and Anarchist women in the 1930s, such as hypocrisy of the male leadership in their support of women's rights, while continuing their sexist and patriarchal behavior in private.
During the Spanish Civil War, POUM women served in many important roles including POUM governance, POUM militias, writing and publishing POUM-affiliated publications, and serving as teachers among the civilian population."
Women in Peru,topic,"Women in Peru represent a minority in both numbers and legal rights. Although historically somewhat equal to men, after the Spanish conquest the culture in what is now Peru became increasingly patriarchal."
Women in Philippine art,topic,"Women in Philippine art is the many forms of art in the Philippines that utilizes women in the Philippines and even women from other parts of the world as the main subject depending on the purpose of the Filipino artist. The portrayal of women in the visual arts depend on the context on how Philippine society perceives women and their roles in human communities, such as their own."
Women in Poland,topic,"The character of Polish women is shaped by Poland's history, culture, and politics. Poland has a long history of feminist activism, and was one of the first nations in Europe to enact women's suffrage."
Women in Portugal,topic,"Women in Portugal received full legal equality with Portuguese men as mandated by Portugal's constitution of 1976, which in turn resulted from the Revolution of 1974. Women were allowed to vote for the first time in Portugal in 1931 under Salazar's Estado Novo, but not on equal terms with men."
Women in Print Conference,event,"The Women in Print Conference (also the National Women in Print Conference) was a conference in the United States for the women in print movement during second-wave feminism. Founded by June Arnold of Daughters, Inc., the conference brought together women working at feminist periodicals, feminist presses, and feminist bookstores for networking and workshops."
Women in Prison (TV series),tv_series,"Women in Prison is an American television sitcom created by Katherine Green which aired on Fox from October 11, 1987 to February 20, 1988."
Women in Prison (film),film,Women in Prison is a 1938 American crime melodrama film directed by Lambert Hillyer. It was produced by Columbia Pictures.
Women in Product,organization,"Women In Product is a 501(c)(3) nonprofit organization ""Equip women to thrive in product management careers at all levels."" As of 2020, they have communities in 21 regions, including San Francisco Bay Area, Boston, New York City, Austin, Vancouver, and Singapore. They've hosted an annual conference since 2016, the first of which was co-founded by Facebook executives Deb Liu and Fidji Simo, with Sheryl Sandberg as the keynote speaker."
Women in Publishing,topic,"Women in Publishing (WiP) is a London-based group, established in 1979, that works to promote the status of women working in the publishing industry and related trades by helping women to develop their careers."
"Women in Punjab, India",topic,Women in Punjab can also be known as Punjabans or Punjabi women. They are the female inhabitants of state of Punjab in India.
Women in Qatar,topic,"Women in Qatar experience certain forms of discrimination, including being subjected to the country's male guardianship law.  Qatar is the only remaining country in the Gulf region which continues to require male guardianship for women's travel."
Women in Red,topic,"Women in Red is a WikiProject intended to address the gender bias in Wikipedia content. The project focuses on creating content regarding women's biographies, women's works, and women's issues."
Women in Research Ireland,organization,"Women in Research Ireland (WIRI) is a charity based in Dublin, Ireland, and a group member of the National Women's Council of Ireland. WIRI's goal is to build a community which connects and unites women, minorities, non-binary and other underrepresented groups in research and academia by raising awareness to create cultural changes."
Women in Revolt,film,Women in Revolt is a 1971 American satirical film produced by Andy Warhol and directed by Paul Morrissey. It was initially released as Andy Warhol's Women.
Women in Russia,topic,"Women in Russia have a rich and varied history during numerous regimes throughout the centuries. Since Russian society is multicultural, the experiences of women in Russia vary significantly across ethnic, religious, and social lines."
Women in STEM,topic,"Many scholars and policymakers have noted that the fields of science, technology, engineering, and mathematics (STEM) have remained predominantly male with historically low participation among women since the origins of these fields in the 18th century during the Age of Enlightenment.
Scholars are exploring the various reasons for the continued existence of this gender disparity in STEM fields."
Women in Safavid Iran,organization,Women in Safavid Iran (1300-1796) refers to the position and status of women across Safavid society and culture within Safavid Iran. These women enjoyed a wide range of rights and freedom depending on their social status.
Women in San Marino,topic,Women in San Marino are European women who live in or are from the Republic of San Marino. Sammarinese women currently share almost all social and political rights with men in San Marino.
Women in Science Hall of Fame (U.S. State Department),topic,"Women in Science Hall of Fame was established in 2010 by the U.S. State Department Environment, Science, Technology, and Health Hub for the Middle East and North Africa to recognize the exceptional women scientists in this region of the world.
Annual awards were made 2011-2015 and coordinated by the U.S. Embassy in Amman, Jordan."
Women in Scientific and Engineering Professions,book,Women in Scientific and Engineering Professions is a 1984 book co-edited by American authors Violet B. Haas and Carolyn C. Perrucci. It was published through University of Michigan Press.
Women in Senegal,topic,"Women in Senegal have a traditional social status as shaped by local custom and religion. According to 2005 survey, the female genital mutilation prevalence rate stands at twenty-eight percent (28%) of all women in Senegal aged between 15 and 49."
Women in Seychelles,topic,"Women in Seychelles hold the same legal, political, economic, and social rights as men."
Women in Shakespeare's works,topic,"Women in Shakespeare is a topic within the especially general discussion of Shakespeare's dramatic and poetic works. Main characters such as Dark Lady of the sonnets have elicited a substantial amount of criticism, which received added impetus during the second-wave feminism of the 1960s."
Women in Shanghai,tv_series,"Women in Shanghai (Chinese: 上海女子图鉴) is a 2018 Chinese streaming television series. Directed by Cheng Liang stars Wang Zhen Er, Li Cheng Bin and Li Xian."
Women in Shinto,topic,"Women occupy a unique role in the indigenous Japanese traditions of Shinto, including a unique form of participation as temple stewards and shamans, or miko. Though a ban on female Shinto priests was lifted during World War II, the number of women priests in Shinto is a small fraction of contemporary clergy."
Women in Shorts,tv_series,"""Women in Shorts"" is the sixth episode of the thirty-sixth season of the American animated television series The Simpsons, and the 774th episode overall. It aired in the United States on Fox on November 10, 2024."
Women in Sierra Leone,topic,"Sierra Leone, officially the Republic of Sierra Leone, is a Constitutional Republic in West Africa. Since it was founded in 1792, the women in Sierra Leone have been a major influence in the political and economic development of the nation."
Women in Sikhism,topic,"The principles of Sikhism state that women have the same souls as men and thus possess an equal right to cultivate their spirituality with equal chances of achieving salvation. Women participate in all Sikh religious, cultural, social, and secular activities including lead religious congregations, take part in the Akhand Path (the continuous recitation of the Holy Scriptures), perform Kirtan (congregational singing of hymns), perform Gatka (Sikh martial art) and work as a Granthis."
Women in Singapore,topic,"Women in Singapore, particularly those who have joined Singapore's workforce, are faced with balancing their traditional and modern-day roles in Singaporean society and economy."
Women in Singaporean politics,topic,"Historically, women's involvement in Singapore's political landscape was limited. However, since 1984, there has been a steady rise in female participation, with more women contesting elections across both ruling and opposition parties, as well as taking on key political roles."
Women in Skirts,film,Women in Skirts (Italian: Donne con le gonne) is a 1991 Italian romantic comedy film directed by Francesco Nuti. It was the highest-grossing Italian film in Italy in 1992.
Women in Somalia,topic,"Women in Somalia form a key part of Somali society, with clearly defined and important roles in the family and  structure. This includes Somali women in Somaliland, a self-declared republic that is internationally recognized as an autonomous region of Somalia."
Women in South Africa,topic,"It is thought that multiple ethnic groups in South Africa have long-standing beliefs concerning gender roles, and most are based on the premise that women in South Africa are less important, or less deserving of power, than men. Some view African traditional social organizations as male-centered and male-dominated."
Women in South Korea,topic,"Women in South Korea (Korean: 위민 인 사우스 코리아) have experienced significant improvements for social changes in recent years, compared to previous times,  when Confucianism was deeply imbued in the culture. The economy of South Korea has tremendously improved due to urbanisation, industrialisation, military authoritarianism, democratic reform, and social liberalisation since the late 1960s."
Women in South Sudan,topic,"Women in South Sudan are women who live in and are from South Sudan. Since the Independence of South Sudan on 9 July 2011, these women have gained more power but still face issues of inequality."
Women in Spain,topic,"The status of women in Spain has evolved from the country's earliest history, culture, and social norms. Throughout the late 20th century, Spain has undergone a transition from Francoist Spain (1939–1975), during which women's rights were severely restricted, to a democratic society where gender equality is a fundamental principle."
Women in Sport,organization,"Women in Sport, formerly the Women's Sport and Fitness Foundation (WSFF), is the UK charity that campaigns to make physical activity an everyday part of life for women and girls. It was founded in 1984 as Women's Sports Foundation (WSF), or Women's Sports Foundation UK. It gains most of its funding through Sport England."
Women in Sri Lanka,topic,"Women in Sri Lanka make up to 52.09% of the population according to the 2012 census of Sri Lanka. Sri Lankan women have contributed greatly to the country's development, in many areas."
Women in Sudan,topic,Sudan is a developing nation that faces many challenges in regard to gender inequality. Freedom House gave Sudan the lowest possible ranking among repressive regimes during 2012.
Women in Suriname,topic,"Women in Suriname are women who were born in, live in, or are from Suriname. Surinamese women may be ethnically East Indian, Afro-Surinamese (Creole) and Maroon), Javanese, Amerindian, Mixed, or of other ancestry."
Women in Sweden,topic,"The status and rights of Women in Sweden has changed several times throughout the history of Sweden. These changes have been affected by the culture, religion and laws of Sweden, as well as social discourses like the strong feminist movement."
Women in Switzerland,topic,"Women in Switzerland are women who live in and are from Switzerland. The legal and social role of Swiss women has evolved significantly from the mid-20th century onwards, having been introduced at a much later rate than that of the wider West."
Women in Syria,topic,"Women in Syria constitute 49.9% of the country's population and, despite many challenges, many women are active participants in social, economic and political factions of Syrian society. According to World Bank data from 2021, there are around 10.6 million women in Syria."
Women in Taipei,tv_series,Women in Taipei (Chinese: 台北女子圖鑑) is a 2022 Taiwanese television series that is an adaptation of the 2016 Japanese series Tokyo Girl. Both series were inspired by the Tokyo Women's Campaign column that appeared in Tokyo Calendar magazine in 2015.
Women in Taiwan,topic,"The status of women in Taiwan has been based on and affected by the traditional patriarchal views and social structure within Taiwanese society, which put women in a subordinate position to men, although the legal status of Taiwanese women has improved in recent years, particularly during the past three decades when family law underwent several amendments. Throughout history, women in Taiwan had suffered various forms of discrimination, including foot binding."
Women in Tajikistan,topic,This page examines the dynamics surrounding women in Tajikistan.
Women in Tanzania,topic,"Roles, livelihoods, and the safety of women in Tanzania have improved significantly since the 20th century, made evident by the seating of Samia Suluhu Hassan – their first female president. Though throwbacks to a once strongly patriarchal society remain (particularly in regard to certain marital laws that favour Islamic and Christian traditions), modernised locals – like Dar es Salaam and Arusha – tell a story of upward mobility."
Women in Taoism,topic,"The roles of women in Taoism (, ) (also spelled ""Daoism"" ) have differed from the traditional patriarchy over women in ancient and imperial China. Chinese women had special importance in some Taoist schools that recognized their transcendental abilities to communicate with deities, who frequently granted women with revealed texts and scriptures."
Women in Tech,book,"Women In Tech: Take Your Career to the Next Level with Practical Advice and Inspiring Stories is a 2016 professional career guide written by Tarah Wheeler and published by Sasquatch Books. The book began as a Kickstarter project, with 772 backers and $32,226 in funding."
Women in Tech Africa,organization,"Women in Tech Africa (WiTA) is an organization with a focus on entrepreneurship expansion and multiplying the numbers of females in technology, especially in Africa. It was founded by Ethel D Cofie."
Women in Technology,disambiguation,Women in Technology may refer to:
Women in Technology (album),music,"Women in Technology is the second studio album by British recording artist White Town, released on 24 February 1997. The album is most known for the song ""Your Woman"" which was its only top 40 single."
Women in Technology International,organization,"Women in Technology International (WITI) is an organization promoting the achievements of women in technology and extending support, opportunities, and inspiration. It was founded by Carolyn Leighton in 1989 as the International Network of Women in Technology."
Women in Technology and Science,organization,"Women in Technology and Science (or WITS) is an Irish organisation representing women working in science and technology. It accepts members from industry and academia, and of all ages, from students to professionals."
Women in Texas government,topic,"Women have been underrepresented in all three branches of Texas state government. Texas has had only two female governors over 175 years since statehood, and many prominent executive positions - such as Lieutenant Governor - have yet to be filled by women."
Women in Thailand,topic,Women in Thailand were among the first women in Asia who were granted the right to vote in 1932. They are underrepresented in Thai politics.
Women in The Lord of the Rings,topic,"The roles of women in The Lord of the Rings have often been assessed as insignificant, or important only in relation to male characters in a story about men for boys. Meanwhile, other commentators have noted the empowerment of the three major women characters, Galadriel, Éowyn, and Arwen, and provided in-depth analysis of their roles within the narrative of The Lord of the Rings."
Women in Their Beds,book,Women in Their Beds is a short story collection by Gina Berriault. It received the 1996 National Book Critics Circle Award and the 1997 PEN/Faulkner Award for Fiction.
Women in Timor-Leste,topic,The East Timorese people mixed racially with Melanesian and Malay genetically. Most of the East Timorese population are Roman Catholic.
Women in Tonga,topic,"As female residents of Tonga, women in Tonga had been described in 2000 by the Los Angeles Times as members of Tongan society who traditionally have a ""high position in Tongan society"" due to the country's partly matriarchal foundation but ""can't own land"", ""subservient"" to husbands in terms of ""domestic affairs"" and ""by custom and law, must dress modestly, usually in Mother Hubbard-style dresses hemmed well below the knee"". Based on the ""superficial dealings"" of LA Times Travel Writer, Susan Spano with the women of Tonga in 2000, she found that Tongan women were a ""little standoffish"", while Patricia Ledyard, former headmistress of a missionary school for girls in Tonga, confirmed that such ""aloofness"" of Tongan women were due to the nation's ""rigid class system"" and the country's ""efforts to retain its cultural identity""."
Women in Transnistria,topic,"Women in Transnistria are women who live in or are from Transnistria (officially the Pridnestrovian Moldavian Republic, known locally as Pridnestrovie)."
Women in Trinidad and Tobago,topic,"Women in Trinidad and Tobago are women who were born in, who live in, or are from Trinidad and Tobago. Depending from which island the women came, they may also be called Trinidadian women or Tobagonian women respectively."
Women in Trouble,film,"Women in Trouble is a 2009 American sex comedy film written, produced, and directed by Sebastian Gutierrez and starring Carla Gugino, Connie Britton, Emmanuelle Chriqui, Marley Shelton, Adrianne Palicki, Simon Baker, and Josh Brolin. It was shot in 10 days for $50,000."
Women in Tunisia,topic,"Since the December 2010 revolution in Tunisia and protests across the Middle East and North Africa (MENA) began, Tunisian women have played an unprecedented part in the protests. Habib Bourguiba began instituting secular freedoms for women in 1956, such as access to higher education, the right to file for divorce, and certain job opportunities."
Women in Turkey,topic,"Women in Turkey obtained full political participation rights, including the right to vote and run for office nationwide offices in 1934. Article 10 of the Turkish Constitution bans any discrimination, state or private, on the grounds of sex."
Women in Turkish politics,topic,"Women in Turkey have an active participation in national politics, and the number of women in the Turkish parliament has been increasing steadily in recent elections."
Women in Turkmenistan,topic,Women comprise 50.8% of Turkmenistan's population. They generally have assigned roles in society and reduced rights compared to men.
Women in Tuvalu,topic,Women in Tuvalu continue to maintain a traditional Polynesian culture within a predominantly Christian society. Tuvaluan cultural identity is sustained through an individual's connection to their home island.
Women in Uganda,topic,Women in Uganda have substantial economic and social responsibilities throughout Uganda's many traditional societies. Ugandan women come from a range of economic and educational backgrounds.
Women in Ukraine,topic,"Women in Ukraine have equal constitutional rights as men in the economic, political, cultural, and social fields, as well as in the family.
Most of the around 45 percent of Ukraine's population (45 million) who suffer violence – physical, sexual, or mental – are women."
Women in Uniform,music,"""Women in Uniform"" is a 1978 song by the Australian band Skyhooks; it was written by the band's bass guitar player, Greg Macainsh."
Women in United States juries,topic,"The representation of women on United States juries drastically increased during the last hundred years because of legislation and court rulings. Until the latter part of the twentieth century, women were routinely excluded from jury service."
